epoch:220, trainLoss:35.521992683410645, testLoss:68.89022827148438                 正解率 1:6.414, 2:13.487, 3:11.678, 4:6.086, 5:10.362 1着から5着:9.605, 9.605                 単勝:6.414, 複勝:34.046, 馬連:4.276, ワイド:8.607, 馬単:0.658, 3連複:1.151, 3連単:0.000
epoch:230, trainLoss:35.125541388988495, testLoss:67.80440521240234                 正解率 1:22.533, 2:12.500, 3:16.283, 4:14.803, 5:8.553 1着から5着:14.934, 14.934                 単勝:22.533, 複勝:36.184, 馬連:7.730, ワイド:8.717, 馬単:1.974, 3連複:1.151, 3連単:0.658
epoch:240, trainLoss:34.903978526592255, testLoss:69.47297668457031                 正解率 1:23.355, 2:12.007, 3:9.704, 4:16.118, 5:6.908 1着から5着:13.618, 13.618                 単勝:23.355, 複勝:38.980, 馬連:15.954, ワイド:12.610, 馬単:5.263, 3連複:2.796, 3連単:0.000
epoch:250, trainLoss:34.733119547367096, testLoss:69.00291442871094                 正解率 1:14.309, 2:12.829, 3:13.322, 4:8.553, 5:7.566 1着から5着:11.316, 11.316                 単勝:14.309, 複勝:32.456, 馬連:6.579, ワイド:8.882, 馬単:0.658, 3連複:2.632, 3連単:0.329
epoch:260, trainLoss:34.61474251747131, testLoss:67.1023941040039                 正解率 1:24.671, 2:10.033, 3:8.059, 4:8.224, 5:7.237 1着から5着:11.645, 11.645                 単勝:24.671, 複勝:42.050, 馬連:18.586, ワイド:15.735, 馬単:4.605, 3連複:4.770, 3連単:0.658
epoch:270, trainLoss:34.543434262275696, testLoss:68.30008697509766                 正解率 1:17.599, 2:12.007, 3:13.816, 4:16.447, 5:6.250 1着から5着:13.224, 13.224                 単勝:17.599, 複勝:40.570, 馬連:13.322, ワイド:12.116, 馬単:2.961, 3連複:0.658, 3連単:0.000
epoch:280, trainLoss:34.46516007184982, testLoss:67.42552185058594                 正解率 1:18.914, 2:9.375, 3:6.414, 4:9.539, 5:9.211 1着から5着:10.691, 10.691                 単勝:18.914, 複勝:41.502, 馬連:20.066, ワイド:15.899, 馬単:2.467, 3連複:5.263, 3連単:0.822
epoch:290, trainLoss:34.43235123157501, testLoss:68.06846618652344                 正解率 1:13.980, 2:13.651, 3:9.704, 4:11.020, 5:5.592 1着から5着:10.789, 10.789                 単勝:13.980, 複勝:41.831, 馬連:19.243, ワイド:14.693, 馬単:3.783, 3連複:3.289, 3連単:0.329
epoch:300, trainLoss:34.407822489738464, testLoss:67.5458755493164                 正解率 1:16.612, 2:11.349, 3:11.678, 4:5.921, 5:7.401 1着から5着:10.592, 10.592                 単勝:16.612, 複勝:40.680, 馬連:16.118, ワイド:12.993, 馬単:2.138, 3連複:2.467, 3連単:0.493
epoch:310, trainLoss:34.367367923259735, testLoss:67.31969451904297                 正解率 1:18.257, 2:10.855, 3:10.033, 4:7.730, 5:7.566 1着から5着:10.888, 10.888                 単勝:18.257, 複勝:39.693, 馬連:13.816, ワイド:12.993, 馬単:1.480, 3連複:4.441, 3連単:0.164
epoch:320, trainLoss:34.3202565908432, testLoss:66.86698913574219                 正解率 1:18.421, 2:16.118, 3:14.967, 4:8.059, 5:5.592 1着から5着:12.632, 12.632                 単勝:18.421, 複勝:45.175, 馬連:20.888, ワイド:16.557, 馬単:3.783, 3連複:2.796, 3連単:0.329
epoch:330, trainLoss:34.204249143600464, testLoss:67.09264373779297                 正解率 1:17.599, 2:17.434, 3:11.678, 4:10.033, 5:6.414 1着から5着:12.632, 12.632                 単勝:17.599, 複勝:43.750, 馬連:20.888, ワイド:14.748, 馬単:4.112, 3連複:2.303, 3連単:0.493
epoch:340, trainLoss:34.135432839393616, testLoss:68.20330810546875                 正解率 1:16.118, 2:11.513, 3:12.171, 4:10.691, 5:8.717 1着から5着:11.842, 11.842                 単勝:16.118, 複勝:44.408, 馬連:18.750, ワイド:16.502, 馬単:4.276, 3連複:4.934, 3連単:0.164
epoch:350, trainLoss:34.1094006896019, testLoss:68.19774627685547                 正解率 1:18.914, 2:11.020, 3:17.105, 4:13.487, 5:8.717 1着から5着:13.849, 13.849                 単勝:18.914, 複勝:43.750, 馬連:12.993, ワイド:15.077, 馬単:1.316, 3連複:1.645, 3連単:0.329
epoch:360, trainLoss:34.09710609912872, testLoss:69.29093170166016                 正解率 1:13.487, 2:10.526, 3:9.868, 4:6.250, 5:6.086 1着から5着:9.243, 9.243                 単勝:13.487, 複勝:43.805, 馬連:17.763, ワイド:16.996, 馬単:1.645, 3連複:5.263, 3連単:0.164
epoch:370, trainLoss:34.25156444311142, testLoss:66.1434555053711                 正解率 1:15.296, 2:17.599, 3:10.033, 4:10.855, 5:5.428 1着から5着:11.842, 11.842                 単勝:15.296, 複勝:49.287, 馬連:23.355, ワイド:21.765, 馬単:4.934, 3連複:7.730, 3連単:1.151
epoch:380, trainLoss:34.25348478555679, testLoss:66.04915618896484                 正解率 1:23.191, 2:6.250, 3:12.500, 4:10.691, 5:10.526 1着から5着:12.632, 12.632                 単勝:23.191, 複勝:43.476, 馬連:16.118, ワイド:17.270, 馬単:1.151, 3連複:5.921, 3連単:0.493
epoch:390, trainLoss:34.061068296432495, testLoss:65.8658676147461                 正解率 1:23.191, 2:11.020, 3:17.763, 4:9.539, 5:9.211 1着から5着:14.145, 14.145                 単勝:23.191, 複勝:46.217, 馬連:20.724, ワイド:16.447, 馬単:4.112, 3連複:2.632, 3連単:0.329
epoch:400, trainLoss:34.04153949022293, testLoss:67.17294311523438                 正解率 1:14.803, 2:11.184, 3:11.349, 4:11.349, 5:7.072 1着から5着:11.151, 11.151                 単勝:14.803, 複勝:39.309, 馬連:11.184, ワイド:12.555, 馬単:0.822, 3連複:2.796, 3連単:0.164
epoch:410, trainLoss:33.95437562465668, testLoss:67.08828735351562                 正解率 1:12.171, 2:10.855, 3:10.197, 4:8.224, 5:5.921 1着から5着:9.474, 9.474                 単勝:12.171, 複勝:42.708, 馬連:16.447, ワイド:14.474, 馬単:2.303, 3連複:4.605, 3連単:0.822
epoch:420, trainLoss:34.01322740316391, testLoss:66.19924926757812                 正解率 1:16.447, 2:9.539, 3:16.612, 4:7.895, 5:5.592 1着から5着:11.217, 11.217                 単勝:16.447, 複勝:41.338, 馬連:16.447, ワイド:14.035, 馬単:1.809, 3連複:2.796, 3連単:0.164
epoch:430, trainLoss:34.00444960594177, testLoss:65.76559448242188                 正解率 1:22.204, 2:13.158, 3:11.513, 4:5.921, 5:9.375 1着から5着:12.434, 12.434                 単勝:22.204, 複勝:41.502, 馬連:20.888, ワイド:13.651, 馬単:7.895, 3連複:2.467, 3連単:1.316
epoch:440, trainLoss:33.90170055627823, testLoss:66.37378692626953                 正解率 1:22.862, 2:10.526, 3:10.526, 4:6.908, 5:12.171 1着から5着:12.599, 12.599                 単勝:22.862, 複勝:41.831, 馬連:16.283, ワイド:13.542, 馬単:3.783, 3連複:2.796, 3連単:0.822
epoch:450, trainLoss:33.999650716781616, testLoss:65.52847290039062                 正解率 1:23.520, 2:11.842, 3:12.993, 4:6.908, 5:6.250 1着から5着:12.303, 12.303                 単勝:23.520, 複勝:45.888, 馬連:21.875, ワイド:16.393, 馬単:3.289, 3連複:2.961, 3連単:0.822
epoch:460, trainLoss:33.92516112327576, testLoss:66.5996322631836                 正解率 1:18.586, 2:10.033, 3:12.336, 4:9.704, 5:6.743 1着から5着:11.480, 11.480                 単勝:18.586, 複勝:39.638, 馬連:13.816, ワイド:12.939, 馬単:3.125, 3連複:3.783, 3連単:0.329
epoch:470, trainLoss:33.890955567359924, testLoss:66.49072265625                 正解率 1:24.178, 2:7.237, 3:15.296, 4:9.539, 5:12.007 1着から5着:13.651, 13.651                 単勝:24.178, 複勝:41.009, 馬連:13.980, ワイド:14.090, 馬単:2.632, 3連複:5.099, 3連単:0.658
epoch:480, trainLoss:33.849058628082275, testLoss:67.3469467163086                 正解率 1:15.461, 2:12.171, 3:13.980, 4:7.237, 5:9.211 1着から5着:11.612, 11.612                 単勝:15.461, 複勝:39.145, 馬連:14.638, ワイド:11.952, 馬単:3.454, 3連複:2.138, 3連単:0.493
epoch:490, trainLoss:33.93870413303375, testLoss:66.24794006347656                 正解率 1:19.243, 2:16.612, 3:8.388, 4:7.237, 5:11.678 1着から5着:12.632, 12.632                 単勝:19.243, 複勝:41.228, 馬連:15.296, ワイド:12.884, 馬単:3.618, 3連複:1.809, 3連単:0.164
epoch:500, trainLoss:33.97451692819595, testLoss:66.1296615600586                 正解率 1:21.711, 2:17.270, 3:12.336, 4:8.388, 5:13.158 1着から5着:14.572, 14.572                 単勝:21.711, 複勝:42.708, 馬連:21.217, ワイド:15.022, 馬単:6.086, 3連複:2.138, 3連単:0.164
