,レースID,レースクラス,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,202203000000 ,Other,1,1,ラヴィータエベラ,高倉,ダ,1700,重,5.3
1,202203000000 ,Other,2,2,リリーミニスター,鮫島駿,ダ,1700,重,3.1
2,202203000000 ,Other,2,3,サヴァビアン,藤懸,ダ,1700,重,27.9
3,202203000000 ,Other,3,4,サンキーウエスト,岩部,ダ,1700,重,40.9
4,202203000000 ,Other,3,5,アイスシェルフ,丸山,ダ,1700,重,12.2
5,202203000000 ,Other,4,6,タイセイスラッガー,古川吉,ダ,1700,重,3.2
6,202203000000 ,Other,4,7,チェリーオリオン,斎藤,ダ,1700,重,20.2
7,202203000000 ,Other,5,8,ブリッツェンシチー,菊沢,ダ,1700,重,61.3
8,202203000000 ,Other,5,9,インウィクトス,原,ダ,1700,重,0
9,202203000000 ,Other,6,10,ペイルライダー,西村淳,ダ,1700,重,11.7
10,202203000000 ,Other,6,11,トーアシオン,亀田,ダ,1700,重,10.6
11,202203000000 ,Other,7,12,メイショウナリヒラ,泉谷,ダ,1700,重,14.8
12,202203000000 ,Other,7,13,フォギーデイ,勝浦,ダ,1700,重,61.3
13,202203000000 ,Other,8,14,トモジャリア,武藤雅,ダ,1700,重,16
14,202203000000 ,Other,8,15,フューリアス,黛,ダ,1700,重,135.5
