,レースID,レースクラス,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,202203000000 ,Other,1,1,ペオース,斎藤,ダ,1700,重,87.5
1,202203000000 ,Other,2,2,アンセッドヴァウ,角田和,ダ,1700,重,107.6
2,202203000000 ,Other,2,3,ケンシンコウ,丸山,ダ,1700,重,2.1
3,202203000000 ,Other,3,4,エクレアスパークル,荻野極,ダ,1700,重,15.5
4,202203000000 ,Other,3,5,ベルダーイメル,川島,ダ,1700,重,85.8
5,202203000000 ,Other,4,6,ニュートンテソーロ,丹内,ダ,1700,重,11.6
6,202203000000 ,Other,4,7,サンライズラポール,西村淳,ダ,1700,重,35.2
7,202203000000 ,Other,5,8,ラーゴム,鮫島駿,ダ,1700,重,4.1
8,202203000000 ,Other,5,9,ブラックアーメット,泉谷,ダ,1700,重,26
9,202203000000 ,Other,6,10,ミヤジコクオウ,古川吉,ダ,1700,重,45
10,202203000000 ,Other,6,11,メイショウウズマサ,岩田康,ダ,1700,重,3.4
11,202203000000 ,Other,7,12,ダンツキャッスル,柴山,ダ,1700,重,38.6
12,202203000000 ,Other,7,13,ヴィーダ,勝浦,ダ,1700,重,149.1
13,202203000000 ,Other,8,14,ハギノアトラス,武藤雅,ダ,1700,重,67.1
14,202203000000 ,Other,8,15,ケイティクレバー,亀田,ダ,1700,重,70.8
