,レースID,レースクラス,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,202209021210 ,Other,1,1,フルム,水口,ダ,1400,重,45.8
1,202209021210 ,Other,2,2,リメイク,福永,ダ,1400,重,2
2,202209021210 ,Other,3,3,ファーンヒル,武豊,ダ,1400,重,64.1
3,202209021210 ,Other,4,4,グットディール,ルメール,ダ,1400,重,3.7
4,202209021210 ,Other,5,5,ジレトール,川田,ダ,1400,重,3.1
5,202209021210 ,Other,6,6,エイシンヌプリ,三浦,ダ,1400,重,42
6,202209021210 ,Other,6,7,スズカワールド,酒井,ダ,1400,重,117.6
7,202209021210 ,Other,7,8,バトルクライ,岩田望,ダ,1400,重,21.7
8,202209021210 ,Other,7,9,クロジシジョー,幸,ダ,1400,重,15.3
9,202209021210 ,Other,8,10,ラヤス,吉田隼,ダ,1400,重,19.3
10,202209021210 ,Other,8,11,カセノダンサー,石橋脩,ダ,1400,重,57
