,レースID,レースクラス,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ,順位
0,202101010101,Other,5,9,ディーバサンライズ,秋山稔樹,芝,1200,良  ,13.5,1
1,202101010101,Other,3,6,バンベルク,横山和生,芝,1200,良  ,3.9,2
2,202101010101,Other,7,14,リツィタル,大野拓弥,芝,1200,良  ,124.7,3
3,202101010101,Other,5,10,クレマチステソーロ,鮫島克駿,芝,1200,良  ,7.6,4
4,202101010101,Other,3,5,ペイシャケイティー,古川吉洋,芝,1200,良  ,7.5,5
5,202101010101,Other,1,2,セリシア,武豊,芝,1200,良  ,3.7,6
6,202101010101,Other,4,7,デクラーク,横山武史,芝,1200,良  ,6.1,7
7,202101010101,Other,6,11,プレジャジンク,吉田隼人,芝,1200,良  ,25.0,8
8,202101010101,Other,7,13,メルティング,団野大成,芝,1200,良  ,56.6,9
9,202101010101,Other,2,3,リトルロータス,山田敬士,芝,1200,良  ,275.3,10
10,202101010101,Other,4,8,ニースバローズ,横山琉人,芝,1200,良  ,142.9,11
11,202101010101,Other,2,4,マイネルニゲラ,丹内祐次,芝,1200,良  ,57.7,12
12,202101010101,Other,8,15,ルーチェビアンカ,荻野琢真,芝,1200,良  ,56.9,13
13,202101010101,Other,6,12,ワンダードゥヴァン,加藤祥太,芝,1200,良  ,95.4,14
14,202101010101,Other,1,1,ミエノベルル,菱田裕二,芝,1200,良  ,10.4,15
15,202101010101,Other,8,16,キッズリッカリッカ,岩田康誠,芝,1200,良  ,69.9,16
0,202101010102,Other,1,1,ペイルライダー,武豊,ダ,1700,良  ,2.4,1
1,202101010102,Other,8,14,デルマフゲン,菊沢一樹,ダ,1700,良  ,9.8,2
2,202101010102,Other,5,8,ラリマールース,泉谷楓真,ダ,1700,良  ,15.2,3
3,202101010102,Other,3,4,メイショウメイロウ,大野拓弥,ダ,1700,良  ,4.0,4
4,202101010102,Other,7,11,マテンロウステラ,横山武史,ダ,1700,良  ,7.3,5
5,202101010102,Other,6,10,クアドリフォリオ,鮫島克駿,ダ,1700,良  ,63.0,6
6,202101010102,Other,2,2,ナイルローズ,勝浦正樹,ダ,1700,良  ,11.6,7
7,202101010102,Other,4,6,キーアクティヴ,永島まな,ダ,1700,良  ,137.3,8
8,202101010102,Other,4,5,カガノワール,横山琉人,ダ,1700,良  ,316.7,9
9,202101010102,Other,6,9,ビーアップ,国分恭介,ダ,1700,良  ,9.2,10
10,202101010102,Other,7,12,プレカーリー,小沢大仁,ダ,1700,良  ,17.1,11
11,202101010102,Other,8,13,エラキス,川又賢治,ダ,1700,良  ,387.9,12
12,202101010102,Other,5,7,クイントン,服部寿希,ダ,1700,良  ,224.1,13
13,202101010102,Other,3,3,セイカリネット,横山和生,ダ,1700,良  ,125.3,14
0,202101010103,Other,8,11,エレファンティネ,鮫島克駿,ダ,1000,良  ,67.7,1
1,202101010103,Other,5,5,ファイヤービート,泉谷楓真,ダ,1000,良  ,14.5,2
2,202101010103,Other,8,12,ハクサンタマテバコ,丹内祐次,ダ,1000,良  ,8.2,3
3,202101010103,Other,4,4,デイジームーン,菱田裕二,ダ,1000,良  ,24.7,4
4,202101010103,Other,1,1,ブリエヴェール,小林凌大,ダ,1000,良  ,21.3,5
5,202101010103,Other,6,8,ビトエノスター,横山武史,ダ,1000,良  ,10.9,6
6,202101010103,Other,7,9,スターリーソング,亀田温心,ダ,1000,良  ,36.6,7
7,202101010103,Other,7,10,アクチュアリー,小沢大仁,ダ,1000,良  ,14.6,8
8,202101010103,Other,3,3,ベイビーアッシュ,永島まな,ダ,1000,良  ,32.6,9
9,202101010103,Other,6,7,ボンラヴォーロ,秋山稔樹,ダ,1000,良  ,145.5,10
10,202101010103,Other,2,2,ヒルノベルモンタ,古川吉洋,ダ,1000,良  ,59.4,11
11,202101010103,Other,5,6,ヴィオマージュ,大野拓弥,ダ,1000,良  ,1.3,12
0,202101010104,Other,2,3,シルキーヴォイス,泉谷楓真,芝,2000,良  ,35.8,1
1,202101010104,Other,7,13,ホウオウリアリティ,大野拓弥,芝,2000,良  ,4.8,2
2,202101010104,Other,3,5,ノアスマッシュ,武豊,芝,2000,良  ,4.4,3
3,202101010104,Other,1,1,エーティーツヨシ,竹之下智,芝,2000,良  ,15.3,4
4,202101010104,Other,4,7,デルマケゴン,菊沢一樹,芝,2000,良  ,49.7,5
5,202101010104,Other,4,6,ミステリーツアー,加藤祥太,芝,2000,良  ,108.5,6
6,202101010104,Other,6,11,ルミナスゲート,藤岡佑介,芝,2000,良  ,3.9,7
7,202101010104,Other,7,12,ヤマノグリッターズ,黛弘人,芝,2000,良  ,14.9,8
8,202101010104,Other,5,8,プリエール,菱田裕二,芝,2000,良  ,264.2,9
9,202101010104,Other,6,10,ジャストフィット,団野大成,芝,2000,良  ,24.3,10
10,202101010104,Other,2,2,ロイヤルアッシュ,鮫島克駿,芝,2000,良  ,83.4,11
11,202101010104,Other,5,9,インフォーマント,吉田隼人,芝,2000,良  ,12.3,12
12,202101010104,Other,8,15,マテンロウスタイル,横山和生,芝,2000,良  ,6.1,13
13,202101010104,Other,3,4,バケル,亀田温心,芝,2000,良  ,18.9,14
14,202101010104,Other,8,14,セルヴォ,国分恭介,芝,2000,良  ,36.9,15
0,202101010105,Other,7,11,カイカノキセキ,鮫島克駿,芝,1000,良  ,6.3,1
1,202101010105,Other,2,2,リトス,亀田温心,芝,1000,良  ,10.7,2
2,202101010105,Other,8,13,ブッシュガーデン,吉田隼人,芝,1000,良  ,3.4,3
3,202101010105,Other,5,6,コラリン,横山武史,芝,1000,良  ,2.2,4
4,202101010105,Other,1,1,スマイルアップ,丹内祐次,芝,1000,良  ,42.8,5
5,202101010105,Other,4,4,プラソン,藤岡佑介,芝,1000,良  ,16.5,6
6,202101010105,Other,7,10,ナバロン,菱田裕二,芝,1000,良  ,28.6,7
7,202101010105,Other,8,12,リブラソナチネ,大庭和弥,芝,1000,良  ,104.6,8
8,202101010105,Other,3,3,オーシンプラス,古川吉洋,芝,1000,良  ,63.7,9
9,202101010105,Other,5,7,ミンナノユメミノル,菊沢一樹,芝,1000,良  ,65.8,10
10,202101010105,Other,4,5,ダイチスマイル,秋山稔樹,芝,1000,良  ,88.1,11
11,202101010105,Other,6,9,ミスリチャード,泉谷楓真,芝,1000,良  ,36.1,12
12,202101010105,Other,6,8,ヴィルチュオーズ,武豊,芝,1000,良  ,---,除
0,202101010106,Other,4,6,メルテミア,横山琉人,ダ,1700,良  ,6.0,1
1,202101010106,Other,6,9,タスマンハイウェイ,横山武史,ダ,1700,良  ,1.9,2
2,202101010106,Other,8,14,メイショウケンジャ,菱田裕二,ダ,1700,良  ,6.6,3
3,202101010106,Other,8,13,アトラスエース,黛弘人,ダ,1700,良  ,252.9,4
4,202101010106,Other,5,7,ガレア,泉谷楓真,ダ,1700,良  ,9.9,5
5,202101010106,Other,3,4,アブルマドール,横山和生,ダ,1700,良  ,12.8,6
6,202101010106,Other,2,2,クツワノセキトリ,丹内祐次,ダ,1700,良  ,18.5,7
7,202101010106,Other,7,12,クリノハーベスト,永島まな,ダ,1700,良  ,140.7,8
8,202101010106,Other,4,5,デルマバサラ,荻野琢真,ダ,1700,良  ,161.9,9
9,202101010106,Other,6,10,マーブルウェイ,小沢大仁,ダ,1700,良  ,17.2,10
10,202101010106,Other,7,11,ビクトリージャック,鮫島克駿,ダ,1700,良  ,73.6,11
11,202101010106,Other,1,1,ホウオウダンサー,秋山稔樹,ダ,1700,良  ,227.8,12
12,202101010106,Other,3,3,ノブシ,藤岡佑介,ダ,1700,良  ,21.2,13
13,202101010106,Other,5,8,ボルゲリ,古川吉洋,ダ,1700,良  ,16.9,14
0,202101010107,Other,8,11,アルナージ,横山和生,ダ,1000,良  ,3.1,1
1,202101010107,Other,6,8,サツキマス,菱田裕二,ダ,1000,良  ,18.4,2
2,202101010107,Other,7,9,イマジンヨウコ,泉谷楓真,ダ,1000,良  ,4.5,3
3,202101010107,Other,8,12,パロットビーク,川又賢治,ダ,1000,良  ,9.3,4
4,202101010107,Other,4,4,ステラータ,武豊,ダ,1000,良  ,5.5,5
5,202101010107,Other,7,10,ヒートライトニング,横山琉人,ダ,1000,良  ,12.2,6
6,202101010107,Other,1,1,ハイレリーフ,丹内祐次,ダ,1000,良  ,15.1,7
7,202101010107,Other,6,7,サノカポ,秋山稔樹,ダ,1000,良  ,27.2,8
8,202101010107,Other,3,3,コールザチューン,亀田温心,ダ,1000,良  ,31.4,9
9,202101010107,Other,2,2,クリオズナ,小沢大仁,ダ,1000,良  ,10.7,10
10,202101010107,Other,5,6,サンジョアン,小林凌大,ダ,1000,良  ,145.8,11
11,202101010107,Other,5,5,ブレイヴガール,吉田隼人,ダ,1000,良  ,19.2,12
0,202101010108,Other,8,10,ヒューマンコメディ,横山和生,芝,2000,良  ,6.4,1
1,202101010108,Other,3,3,アキノコマチ,鮫島克駿,芝,2000,良  ,4.8,2
2,202101010108,Other,4,4,パイネ,団野大成,芝,2000,良  ,4.0,3
3,202101010108,Other,8,9,クロスザルビコン,大野拓弥,芝,2000,良  ,8.5,4
4,202101010108,Other,5,5,ヤップヤップヤップ,丹内祐次,芝,2000,良  ,13.3,5
5,202101010108,Other,6,6,アルマイナンナ,菱田裕二,芝,2000,良  ,30.6,6
6,202101010108,Other,7,8,ユークレース,菊沢一樹,芝,2000,良  ,10.3,7
7,202101010108,Other,7,7,ディープリッチ,泉谷楓真,芝,2000,良  ,4.4,8
8,202101010108,Other,2,2,ヒナノコバン,秋山稔樹,芝,2000,良  ,15.2,9
9,202101010108,Other,1,1,ノーブルキャニオン,小沢大仁,芝,2000,良  ,35.0,10
0,202101010109,Other,7,11,ゴダイリキ,吉田隼人,ダ,1700,良  ,2.6,1
1,202101010109,Other,6,9,モズマゾク,小林凌大,ダ,1700,良  ,12.3,2
2,202101010109,Other,8,14,ベルゼール,永島まな,ダ,1700,良  ,10.0,3
3,202101010109,Other,4,6,ラルフ,団野大成,ダ,1700,良  ,6.0,4
4,202101010109,Other,4,5,ノワールフレグラン,小沢大仁,ダ,1700,良  ,16.8,5
5,202101010109,Other,6,10,ゴーストレート,菊沢一樹,ダ,1700,良  ,31.1,6
6,202101010109,Other,5,8,ラレイナ,横山武史,ダ,1700,良  ,6.0,7
7,202101010109,Other,3,3,マヤローザ,泉谷楓真,ダ,1700,良  ,126.9,8
8,202101010109,Other,3,4,キゾク,川又賢治,ダ,1700,良  ,49.0,9
9,202101010109,Other,7,12,キットサクラサク,丹内祐次,ダ,1700,良  ,34.6,10
10,202101010109,Other,2,2,オウケンロジータ,古川吉洋,ダ,1700,良  ,16.3,11
11,202101010109,Other,8,13,ジェネシスムーン,秋山稔樹,ダ,1700,良  ,128.0,12
12,202101010109,Other,1,1,サンメディル,大野拓弥,ダ,1700,良  ,19.2,13
13,202101010109,Other,5,7,サンライズボルト,鮫島克駿,ダ,1700,良  ,10.7,14
0,202101010110,Other,2,2,ナックイルシーブ,大野拓弥,芝,2600,良  ,2.9,1
1,202101010110,Other,5,5,サングレデクリスト,鮫島克駿,芝,2600,良  ,23.7,2
2,202101010110,Other,7,7,ダノンセレスタ,武豊,芝,2600,良  ,2.5,3
3,202101010110,Other,1,1,テーオーラファエロ,吉田隼人,芝,2600,良  ,4.2,4
4,202101010110,Other,6,6,ピエナアラシ,西谷凜,芝,2600,良  ,14.7,5
5,202101010110,Other,4,4,トゥプエデス,永島まな,芝,2600,良  ,94.2,6
6,202101010110,Other,8,8,インペリアルツアー,山田敬士,芝,2600,良  ,29.1,7
7,202101010110,Other,3,3,スマイルガール,古川吉洋,芝,2600,良  ,7.5,8
0,202101010111,Other,1,1,ブラックダンサー,岩田康誠,芝,1200,良  ,9.2,1
1,202101010111,Other,6,11,インザムービー,亀田温心,芝,1200,良  ,8.4,2
2,202101010111,Other,2,4,オーロラフラッシュ,団野大成,芝,1200,良  ,23.1,3
3,202101010111,Other,7,14,ニシノストーム,大野拓弥,芝,1200,良  ,63.9,4
4,202101010111,Other,4,8,ヴォイスオブジョイ,国分恭介,芝,1200,良  ,49.5,5
5,202101010111,Other,3,6,マリノディアナ,秋山稔樹,芝,1200,良  ,219.9,6
6,202101010111,Other,7,13,コスモアンジュ,丹内祐次,芝,1200,良  ,18.1,7
7,202101010111,Other,3,5,オシリスブレイン,横山和生,芝,1200,良  ,5.6,8
8,202101010111,Other,8,16,トゥールドマジ,黛弘人,芝,1200,良  ,54.6,9
9,202101010111,Other,2,3,ゼンノアンジュ,鮫島克駿,芝,1200,良  ,9.4,10
10,202101010111,Other,6,12,ロフティーピーク,武豊,芝,1200,良  ,6.3,11
11,202101010111,Other,8,15,エイカイマドンナ,藤岡佑介,芝,1200,良  ,35.9,12
12,202101010111,Other,5,10,キーダイヤ,横山武史,芝,1200,良  ,8.4,13
13,202101010111,Other,5,9,ポンペイワーム,吉田隼人,芝,1200,良  ,14.4,14
14,202101010111,Other,4,7,テーオーマルクス,古川吉洋,芝,1200,良  ,23.1,15
15,202101010111,Other,1,2,エムオーシャトル,勝浦正樹,芝,1200,良  ,5.9,16
0,202101010112,Other,1,1,マイエンフェルト,川又賢治,芝,1800,良  ,35.0,1
1,202101010112,Other,6,6,プライムフェイズ,藤岡佑介,芝,1800,良  ,6.3,2
2,202101010112,Other,4,4,ピースマインド,古川吉洋,芝,1800,良  ,29.8,3
3,202101010112,Other,3,3,ブラックデビル,小林凌大,芝,1800,良  ,15.0,4
4,202101010112,Other,2,2,ココニアル,大野拓弥,芝,1800,良  ,3.4,5
5,202101010112,Other,7,9,ダイワギャバン,菊沢一樹,芝,1800,良  ,48.2,6
6,202101010112,Other,5,5,カサーレ,団野大成,芝,1800,良  ,6.4,7
7,202101010112,Other,7,8,ダノングレーター,鮫島克駿,芝,1800,良  ,12.8,8
8,202101010112,Other,8,10,ダンツイノーバ,菱田裕二,芝,1800,良  ,11.9,9
9,202101010112,Other,8,11,ブルーエクセレンス,横山武史,芝,1800,良  ,6.9,10
10,202101010112,Other,6,7,ルックスマート,吉田隼人,芝,1800,良  ,5.2,11
0,202101010201,Other,2,2,ヴァトレニ,横山和生,芝,1500,良  ,2.9,1
1,202101010201,Other,7,11,シーロンシャン,藤岡佑介,芝,1500,良  ,5.0,2
2,202101010201,Other,5,7,ブラックハート,団野大成,芝,1500,良  ,11.4,3
3,202101010201,Other,6,10,フレーズバニーユ,泉谷楓真,芝,1500,良  ,20.6,4
4,202101010201,Other,4,5,トリプルフォー,和田竜二,芝,1500,良  ,81.5,5
5,202101010201,Other,6,9,ジュリエットパール,横山武史,芝,1500,良  ,6.1,6
6,202101010201,Other,4,6,ナイトエクスプレス,岩田康誠,芝,1500,良  ,31.5,7
7,202101010201,Other,7,12,アンフィニ,松田大作,芝,1500,良  ,27.6,8
8,202101010201,Other,1,1,ナスノマイスター,丸山元気,芝,1500,良  ,126.5,9
9,202101010201,Other,5,8,アラハバキ,坂井瑠星,芝,1500,良  ,49.2,10
10,202101010201,Other,8,13,アレレブルー,鮫島克駿,芝,1500,良  ,15.7,11
11,202101010201,Other,3,4,ラトゥールレディー,小沢大仁,芝,1500,良  ,13.5,12
12,202101010201,Other,8,14,シェーンシュタット,池添謙一,芝,1500,良  ,10.0,13
13,202101010201,Other,3,3,パブリックドメイン,菱田裕二,芝,1500,良  ,15.0,14
0,202101010202,Other,8,12,シャスティーナ,田中健,ダ,1000,良  ,2.0,1
1,202101010202,Other,8,11,ドナテッラ,菱田裕二,ダ,1000,良  ,21.6,2
2,202101010202,Other,6,8,イニシュモア,小沢大仁,ダ,1000,良  ,7.5,3
3,202101010202,Other,5,5,スノームーンライト,団野大成,ダ,1000,良  ,57.4,4
4,202101010202,Other,2,2,ワールドクルーズ,岩田康誠,ダ,1000,良  ,9.9,5
5,202101010202,Other,6,7,サザークブリッジ,泉谷楓真,ダ,1000,良  ,15.9,6
6,202101010202,Other,3,3,ルーマーミル,吉田隼人,ダ,1000,良  ,6.3,7
7,202101010202,Other,7,10,シュンガイト,鮫島克駿,ダ,1000,良  ,18.0,8
8,202101010202,Other,7,9,ブルーグリッター,横山武史,ダ,1000,良  ,10.0,9
9,202101010202,Other,5,6,ヤマイチキャプテン,横山琉人,ダ,1000,良  ,15.0,10
10,202101010202,Other,4,4,クレールジョリ,永島まな,ダ,1000,良  ,151.2,11
11,202101010202,Other,1,1,ヴィクトリアブーケ,丹内祐次,ダ,1000,良  ,37.4,12
0,202101010203,Other,5,7,ヴェノム,池添謙一,ダ,1700,良  ,2.4,1
1,202101010203,Other,6,10,メイショウナリヒラ,和田竜二,ダ,1700,良  ,3.6,2
2,202101010203,Other,5,8,ガビーズスピリット,吉田隼人,ダ,1700,良  ,7.4,3
3,202101010203,Other,7,11,メイショウコトダマ,団野大成,ダ,1700,良  ,17.8,4
4,202101010203,Other,4,6,ショウネンジダイ,横山和生,ダ,1700,良  ,22.8,5
5,202101010203,Other,7,12,コスモシェルパ,丹内祐次,ダ,1700,良  ,28.2,6
6,202101010203,Other,3,3,ウインメイキット,黛弘人,ダ,1700,良  ,193.4,7
7,202101010203,Other,8,13,ジェイエルブリッジ,小林凌大,ダ,1700,良  ,57.9,8
8,202101010203,Other,8,14,ヨリクンロード,横山武史,ダ,1700,良  ,13.4,9
9,202101010203,Other,2,2,チュウワヴィグラス,原田和真,ダ,1700,良  ,233.0,10
10,202101010203,Other,4,5,スカイトライア,藤岡佑介,ダ,1700,良  ,7.5,11
11,202101010203,Other,6,9,ディキシーデイズ,岩田康誠,ダ,1700,良  ,21.7,12
12,202101010203,Other,1,1,トラモントガルフ,泉谷楓真,ダ,1700,良  ,102.7,13
13,202101010203,Other,3,4,デルマジュンデイ,亀田温心,ダ,1700,良  ,129.8,14
0,202101010204,Other,8,11,グッドラベリング,池添謙一,芝,2000,良  ,11.6,1
1,202101010204,Other,5,6,ステイブルアスク,坂井瑠星,芝,2000,良  ,23.8,2
2,202101010204,Other,6,7,ロゼット,亀田温心,芝,2000,良  ,5.5,3
3,202101010204,Other,2,2,ドリームアゲイン,藤岡佑介,芝,2000,良  ,7.0,4
4,202101010204,Other,4,4,アースフレア,泉谷楓真,芝,2000,良  ,6.2,5
5,202101010204,Other,7,10,デルマキッショウ,吉田隼人,芝,2000,良  ,4.3,6
6,202101010204,Other,6,8,マスカリンラン,丹内祐次,芝,2000,良  ,137.8,7
7,202101010204,Other,3,3,メイショウイナホ,菱田裕二,芝,2000,良  ,9.4,8
8,202101010204,Other,8,12,スカーレットテイル,秋山稔樹,芝,2000,良  ,26.5,9
9,202101010204,Other,7,9,テイケイラウレア,団野大成,芝,2000,良  ,4.2,10
10,202101010204,Other,1,1,ブライドピーク,小沢大仁,芝,2000,良  ,54.6,11
11,202101010204,Other,5,5,ハデコ,永島まな,芝,2000,良  ,182.5,12
0,202101010205,Other,4,5,トーセンサンダー,丹内祐次,芝,1200,良  ,43.8,1
1,202101010205,Other,1,1,グラスミヤラビ,団野大成,芝,1200,良  ,63.0,2
2,202101010205,Other,4,4,アスターヘキサゴン,和田竜二,芝,1200,良  ,9.6,3
3,202101010205,Other,2,2,グットディール,吉田隼人,芝,1200,良  ,1.5,4
4,202101010205,Other,7,11,ペルペテュエル,勝浦正樹,芝,1200,良  ,87.3,5
5,202101010205,Other,5,6,フォーネリー,岩田康誠,芝,1200,良  ,72.3,6
6,202101010205,Other,5,7,トーセンビースト,丸山元気,芝,1200,良  ,67.8,7
7,202101010205,Other,3,3,フレッシュラムール,鮫島克駿,芝,1200,良  ,18.9,8
8,202101010205,Other,6,8,スマイルバック,横山和生,芝,1200,良  ,12.1,9
9,202101010205,Other,6,9,シズオウ,秋山稔樹,芝,1200,良  ,111.2,10
10,202101010205,Other,8,13,ショットオブザデイ,竹之下智,芝,1200,良  ,136.9,11
11,202101010205,Other,8,12,ハマーフェイス,池添謙一,芝,1200,良  ,4.8,12
12,202101010205,Other,7,10,ギンノアメガフル,横山琉人,芝,1200,良  ,22.5,13
0,202101010206,Other,1,1,ハイエログリフ,和田竜二,芝,1800,良  ,8.4,1
1,202101010206,Other,8,13,サトノディーバ,坂井瑠星,芝,1800,良  ,3.3,2
2,202101010206,Other,7,11,カタリーナ,藤岡佑介,芝,1800,良  ,22.2,3
3,202101010206,Other,3,3,フェイトリッパー,吉田隼人,芝,1800,良  ,4.1,4
4,202101010206,Other,7,10,ウォリアープライド,横山和生,芝,1800,良  ,13.4,5
5,202101010206,Other,5,6,ハクシンパーソナル,松田大作,芝,1800,良  ,37.1,6
6,202101010206,Other,8,12,レヴォリオ,鮫島克駿,芝,1800,良  ,10.2,7
7,202101010206,Other,5,7,シグナステソーロ,秋山稔樹,芝,1800,良  ,12.5,8
8,202101010206,Other,6,9,ムラサメマル,丹内祐次,芝,1800,良  ,27.5,9
9,202101010206,Other,4,5,モデュロール,団野大成,芝,1800,良  ,49.8,10
10,202101010206,Other,2,2,ヴィクトールアイ,原田和真,芝,1800,良  ,18.8,11
11,202101010206,Other,6,8,フェアビアンカ,横山武史,芝,1800,良  ,6.4,12
12,202101010206,Other,4,4,ボタニスト,小沢大仁,芝,1800,良  ,158.1,13
0,202101010207,Other,4,4,コーリングローリー,横山和生,ダ,1000,良  ,10.9,1
1,202101010207,Other,5,5,エルズリー,坂井瑠星,ダ,1000,良  ,11.5,2
2,202101010207,Other,1,1,ヨドノゴールド,小沢大仁,ダ,1000,良  ,2.5,3
3,202101010207,Other,5,6,トミケンプロズバ,丹内祐次,ダ,1000,良  ,56.8,4
4,202101010207,Other,3,3,ナイトコマンダー,小林凌大,ダ,1000,良  ,22.6,5
5,202101010207,Other,8,12,アイアムスゴスギル,永島まな,ダ,1000,良  ,6.3,6
6,202101010207,Other,6,8,シルヴァーメテオ,秋山稔樹,ダ,1000,良  ,56.0,7
7,202101010207,Other,8,11,サーストンネイジュ,岩田康誠,ダ,1000,良  ,5.3,8
8,202101010207,Other,7,9,サウンドブライアン,泉谷楓真,ダ,1000,良  ,8.0,9
9,202101010207,Other,6,7,スマートエリス,亀田温心,ダ,1000,良  ,30.1,10
10,202101010207,Other,7,10,ガビーズメモリー,黛弘人,ダ,1000,良  ,16.2,11
11,202101010207,Other,2,2,キュウドウクン,勝浦正樹,ダ,1000,良  ,23.1,12
0,202101010208,Other,4,6,サトノロイヤル,和田竜二,ダ,1700,良  ,3.5,1
1,202101010208,Other,3,3,ペイシャクェーサー,秋山稔樹,ダ,1700,良  ,6.5,2
2,202101010208,Other,3,4,リアルシング,池添謙一,ダ,1700,良  ,11.2,3
3,202101010208,Other,5,7,メリディアン,中井裕二,ダ,1700,良  ,42.6,4
4,202101010208,Other,2,2,フームスムート,勝浦正樹,ダ,1700,良  ,14.9,5
5,202101010208,Other,7,11,トップザビル,吉田隼人,ダ,1700,良  ,8.7,6
6,202101010208,Other,4,5,サダムラピュタ,亀田温心,ダ,1700,良  ,11.7,7
7,202101010208,Other,7,12,エスキシータ,小沢大仁,ダ,1700,良  ,39.3,8
8,202101010208,Other,5,8,イグナーツ,横山琉人,ダ,1700,良  ,69.7,9
9,202101010208,Other,1,1,ショウリノカンパイ,横山和生,ダ,1700,良  ,2.8,10
10,202101010208,Other,8,13,ラレーヌデュバル,永島まな,ダ,1700,良  ,195.6,11
11,202101010208,Other,6,9,マーチリリー,鮫島克駿,ダ,1700,良  ,37.6,12
12,202101010208,Other,6,10,イッツオーライト,菱田裕二,ダ,1700,良  ,244.3,13
13,202101010208,Other,8,14,キララアモーレ,団野大成,ダ,1700,良  ,139.8,14
0,202101010209,Other,6,12,テリーヌ,泉谷楓真,芝,1200,良  ,7.5,1
1,202101010209,Other,8,16,レコレータ,池添謙一,芝,1200,良  ,9.2,2
2,202101010209,Other,1,2,ブルメンダール,横山武史,芝,1200,良  ,2.7,3
3,202101010209,Other,5,9,ショウナンラスボス,吉田隼人,芝,1200,良  ,3.4,4
4,202101010209,Other,4,8,ブロンズレッド,団野大成,芝,1200,良  ,14.9,5
5,202101010209,Other,4,7,ブラックアーシャ,勝浦正樹,芝,1200,良  ,18.2,6
6,202101010209,Other,7,14,テリオスヒメ,秋山稔樹,芝,1200,良  ,76.0,7
7,202101010209,Other,1,1,オンラインドリーム,小沢大仁,芝,1200,良  ,8.9,8
8,202101010209,Other,7,13,テーオーソクラテス,坂井瑠星,芝,1200,良  ,60.8,9
9,202101010209,Other,5,10,マイネルテナシャス,丹内祐次,芝,1200,良  ,64.7,10
10,202101010209,Other,8,15,アスカロン,岩田康誠,芝,1200,良  ,85.9,11
11,202101010209,Other,3,6,ヴィクトリアポデル,小林凌大,芝,1200,良  ,71.0,12
12,202101010209,Other,6,11,トップギア,山田敬士,芝,1200,良  ,374.4,13
13,202101010209,Other,2,3,セイウンノウヒメ,永島まな,芝,1200,良  ,59.6,14
14,202101010209,Other,2,4,ファストーゾ,鮫島克駿,芝,1200,良  ,33.9,15
15,202101010209,Other,3,5,タイセイレフィーノ,横山和生,芝,1200,良  ,---,取
0,202101010210,Other,8,13,ミスミルドレッド,池添謙一,芝,1800,良  ,2.9,1
1,202101010210,Other,5,6,グレースオブナイル,吉田隼人,芝,1800,良  ,14.9,2
2,202101010210,Other,2,2,ロックオンエイム,横山和生,芝,1800,良  ,4.2,3
3,202101010210,Other,3,3,マイタイムオブデイ,松田大作,芝,1800,良  ,32.7,4
0,202101010211,G3,7,14,ビアンフェ,藤岡佑介,芝,1200,良  ,8.0,1
1,202101010211,G3,8,16,カレンモエ,鮫島克駿,芝,1200,良  ,2.9,2
2,202101010211,G3,4,7,ミッキーブリランテ,和田竜二,芝,1200,良  ,7.9,3
3,202101010211,G3,5,10,ジョーアラビカ,横山和生,芝,1200,良  ,43.2,4
4,202101010211,G3,4,8,カツジ,岩田康誠,芝,1200,良  ,26.6,5
5,202101010211,G3,3,5,ケープコッド,吉田隼人,芝,1200,良  ,7.7,6
6,202101010211,G3,1,2,マイネルアルケミー,黛弘人,芝,1200,良  ,43.0,7
7,202101010211,G3,6,11,コントラチェック,丸山元気,芝,1200,良  ,10.5,8
8,202101010211,G3,2,3,シゲルピンクルビー,泉谷楓真,芝,1200,良  ,6.3,9
9,202101010211,G3,6,12,ロードアクア,田中健,芝,1200,良  ,108.9,10
10,202101010211,G3,1,1,アスタールビー,池添謙一,芝,1200,良  ,16.6,11
11,202101010211,G3,5,9,タイセイアベニール,小崎綾也,芝,1200,良  ,21.5,12
12,202101010211,G3,3,6,リンゴアメ,秋山稔樹,芝,1200,良  ,46.1,13
13,202101010211,G3,7,13,センショウユウト,中井裕二,芝,1200,良  ,86.8,14
14,202101010211,G3,8,15,アルピニズム,団野大成,芝,1200,良  ,61.2,15
15,202101010211,G3,2,4,ジャスティン,坂井瑠星,芝,1200,良  ,29.8,16
0,202101010212,Other,8,9,ペイシャキュウ,秋山稔樹,ダ,1700,良  ,6.0,1
1,202101010212,Other,2,2,フルデプスリーダー,横山武史,ダ,1700,良  ,1.8,2
2,202101010212,Other,8,10,グラスデスティーノ,松田大作,ダ,1700,良  ,17.1,3
3,202101010212,Other,4,4,グリニッジシチー,丹内祐次,ダ,1700,良  ,25.9,4
4,202101010212,Other,3,3,ロンドンデリーエア,藤岡佑介,ダ,1700,良  ,4.4,5
5,202101010212,Other,6,6,ナリス,団野大成,ダ,1700,良  ,13.3,6
6,202101010212,Other,7,7,オーバーリミット,亀田温心,ダ,1700,良  ,26.0,7
7,202101010212,Other,7,8,ブリッツシュラーク,鮫島克駿,ダ,1700,良  ,139.0,8
8,202101010212,Other,5,5,メイショウフォイル,和田竜二,ダ,1700,良  ,16.6,9
9,202101010212,Other,1,1,サウンドサンビーム,吉田隼人,ダ,1700,良  ,27.4,10
0,202101010301,Other,1,2,ミトグラフィア,亀田温心,芝,1200,良  ,40.2,1
