,レースID,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,2.44E-07,1,1,15.2309128,12.48471114,0.007925709,0.002937935,-0.755740992,5.3
1,4.22E-06,2,2,5.477655986,5.709752455,0.001917125,0.005258627,-0.139038927,3.1
2,3.96E-05,2,3,8.849633745,10.75796177,0.003438021,0.023975233,-0.532896795,27.9
3,1.07E-06,3,4,7.777867191,9.669625481,1.30E-05,0.003563313,-0.373336979,40.9
4,1.84E-06,3,5,9.39690918,9.187691241,0.000365898,0.007633017,-0.223223838,12.2
5,-5.30E-07,4,6,12.0437098,7.325215968,0.002253401,0.002490587,-0.417760518,3.2
6,7.39E-06,4,7,4.354762978,12.18199681,0.002253033,0.015450201,-0.204309629,20.2
7,1.10E-05,5,8,6.854024048,6.666420749,-0.00068483,0.012895275,-0.152266356,61.3
8,9.95E-06,5,9,0,0,0,0,0,0
9,5.91E-06,6,10,9.888726121,13.78094622,-0.010482842,0.008479271,-0.473790969,11.7
10,4.18E-06,6,11,6.956552945,7.146972422,0.006245318,0.007243645,-0.533063772,10.6
11,-1.04E-05,7,12,12.70371999,13.7984696,0.001352669,0.000826154,-0.164834642,14.8
12,1.69E-05,7,13,4.427946541,8.455819286,0.003794011,0.01926636,-0.395907058,61.3
13,-9.54E-07,8,14,9.406280134,3.088754819,0.000127445,0.003525051,-0.296313225,16
14,4.93E-06,8,15,6,7.189140958,-0.001083745,0.007089948,-0.08959295,135.5
