,レースID,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,-1.6616347179865248e-05,1,1,12.260473713457118,8.027364827028894,0.00019070686697550345,0.00013337720544982572,-0.1497027451506543,135.4
1,3.0151061417955496e-05,1,2,10.842629742062197,8.796116954927776,0.0018884199117079395,0.013523241267381393,-0.3264135754122783,4.9
2,1.8677226830123994e-05,2,3,11.946995848000029,2.6904500473483326,0.002291314687022153,0.011857358457851056,-0.06626472066172567,39.7
3,3.3277038916178575e-05,2,4,10.437283024290458,4.825948925674583,-0.00018972147943933492,0.01043539426077582,-0.14652998011597773,178.8
4,-2.4913237228401006e-05,3,5,11.390687306514005,10.189914654623244,0.0012953497299362812,-0.0008118301768956453,-0.15553043310930859,73.5
5,-1.5189368577074777e-05,3,6,12.777070987367342,10.87273003119838,0.0010512548992368997,-0.004302347834448201,-0.17851032738681405,4.2
6,9.45246300192319e-06,4,7,9.051167773208428,14.266533025041838,0.0019008194703091887,0.006164000092454918,-0.7079137829344399,70.4
7,4.8538128050877964e-06,4,8,11.635362462356568,14.230025889169175,0.004103299677759696,0.008203863582418477,-0.10053668439888021,10.2
8,1.4814906769685958e-05,5,9,5.895287176057143,13.082614281852674,0.00268417740366446,0.01717278734021241,-0.0816226984987632,263.1
9,3.0487357727522458e-05,5,10,8.885175209885375,8.59734231179505,0.0016656784708650601,0.009263505924978929,-0.19125159014068321,52.9
10,-6.493631179337549e-06,6,11,17.387615411855947,8.65139452246724,0.003938257990935333,-0.001307611802166013,-0.5976618344490819,178.8
11,1.3985249717748833e-05,6,12,10.755246004283254,13.047373256466145,0.0022328724838637905,0.01247919821360978,-0.17149339005328115,2.4
12,-4.743272209445287e-06,7,13,12.180959195296591,14.87493014226702,-0.0028656489430696655,0.008649432825773391,-0.33446422233258233,27.2
13,4.0943663348404856e-05,7,14,10.295843278000984,11.760962392605176,0.0026530660729649222,0.017941568991570112,-0.07334720400210973,27.9
14,5.230122084733903e-06,8,15,11.47507289323712,4.853711517905322,0.004356496606562489,0.003769055434499053,-0.27220200219687113,20.8
15,-4.389406386361494e-05,8,16,11.257356820984912,7.233831719302216,0.0008607346400527607,-0.010060159037996126,-0.08248967412221261,5.2
