,レースID,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,8.361180738402072e-06,1,1,13.006899839999999,8.027364827028894,-0.00019070686697550345,0.008778025640263533,-0.1497027451506543,137.3
1,2.764272719911154e-05,2,2,9.607610974208002,7.751473465238775,0.007816101936251875,0.009532134660969348,-0.27952198236569414,6.4
2,7.112850791848052e-07,3,3,8.097648,10.189914654623244,-0.0012953497299362812,0.008398583364115947,-0.15553043310930859,11.7
3,-4.686430047053836e-06,4,4,20.375,14.230025889169175,-0.004103299677759696,0.0016774350588127436,-0.10053668439888021,2.5
4,4.978828776864594e-05,5,5,19.733044,11.760962392605176,-0.0026530660729649222,0.014681633909705403,-0.07334720400210973,8.3
5,3.598400385836328e-05,6,6,6.0,11.811067998828076,-0.0005451226760739927,0.014004558512979418,-0.11133193941436519,63.7
6,2.89801587698264e-06,7,7,22.1444608,13.082614281852674,-0.00268417740366446,0.0013844688181223485,-0.0816226984987632,55.3
7,8.173843695114888e-06,7,8,13.600000000000001,13.047373256466145,-0.0022328724838637905,1.8486738080209505e-05,-0.17149339005328115,2
8,-1.1734548523585004e-05,8,9,15.1660702220288,14.87493014226702,0.0028656489430696655,0.0011780240698171121,-0.33446422233258233,31
9,3.5139021862834545e-06,8,10,11.875204992,4.825948925674583,0.00018972147943933492,0.002578119377011074,-0.14652998011597773,28.9
