,レースID,枠,馬番,馬名,騎手,コース,距離,馬場,オッズ
0,-1.8427373981986514e-05,1,1,8.264001712817281,13.953473133831883,0.0044933451783706665,-0.0034282216936435397,-0.5934206188208039,8.5
1,-4.1002923542070025e-06,1,2,13.184072039064835,12.841962021186042,-0.00016261903116512964,-9.253371967954605e-05,-0.079395052785071,25.4
2,-2.1918524470625552e-05,2,3,6.911646408139628,13.190697174556323,-0.00012488554397659923,-0.00015730026652437833,-0.10124887292887996,47.3
3,-5.09642470848958e-05,2,4,9.603688235569935,12.418844806832698,-6.319355691215034e-05,-0.009316387628507334,-0.04736079670406273,60.9
4,-2.763565463632088e-06,3,5,14.917248484061705,6.688755205227341,-0.0024948037108741216,0.003763321891671332,-0.1514656593130358,9.9
5,-9.620704792565508e-05,3,6,12.268663216241633,13.934955016305787,-0.008763992712940356,-0.010114231413248497,-0.3937004914627733,62.8
6,2.1856284799085057e-05,4,7,21.66385695920049,6.663538357639937,0.004935051724266517,0.0031387933113544964,-0.2983751168930072,6.8
7,5.985225727655618e-05,4,8,16.05463912045799,9.539513085149201,-0.007388869221575006,0.023454558561632147,-0.520304169817941,74.4
8,1.6379296713389834e-06,5,9,19.345089568110474,10.964815207817276,-0.0016303903123189099,0.004102594504369453,-0.18733373279175608,18.1
9,-6.140171296622672e-05,5,10,18.054673259070455,13.539873809471072,-0.0005557295379235916,-0.009476995937019317,-0.16966153234567907,78.5
10,-1.0856046325305837e-05,6,11,19.414232927148657,8.590110732211189,-0.0012037649345204965,-0.005151889363553193,-0.15919608261861284,53.5
11,7.529855993640124e-05,6,12,13.442119912545513,13.677957397359378,-0.002675246697919978,0.02999624471904981,-0.14669597149542246,37.7
12,1.1350383853923212e-05,7,13,13.812407667934394,10.879529447442906,0.001920365196153305,0.0036446866761012625,-0.29969668904381985,31.5
13,2.0201303353557483e-06,7,14,19.48602191905418,9.846900308527804,-0.007739923875498804,0.0038967848812894363,-0.17411263809959876,86.6
14,-1.1628371573050783e-05,7,15,25.711371732550113,15.180699518605572,-0.0008071574531584492,0.006209666870430776,-0.182730119179133,34.6
15,-6.113650306053939e-06,8,16,19.566936172696593,16.074920511324205,-0.005413480209354753,0.0030498849403070047,-0.44768417024669227,5.4
16,-3.017811601013036e-05,8,17,11.905025179400385,15.102896971430411,-0.0015308114800869682,0.0007479314264235014,-0.37624690275883355,27.6
17,2.3959189512001162e-06,8,18,12.29977312127208,11.892004373931956,-0.011110047866375698,0.00582916640905373,-0.18131377322523715,2.6
